Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
"06037232601","Census Tract 2326.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"232601",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037232601","Census Tract 2326.01",,,,1688,94,123,113,94,145,301,203,212,234,123,0,46,5.57,7.29,6.69,5.57,8.59,17.83,12.03,12.56,13.86,7.29,0,2.73
"06037232602","Census Tract 2326.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"232602",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037232602","Census Tract 2326.02",,,,5524,325,622,355,229,541,761,659,872,664,254,201,41,5.88,11.26,6.43,4.15,9.79,13.78,11.93,15.79,12.02,4.6,3.64,0.74
"06037232701","Census Tract 2327.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"232701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037232701","Census Tract 2327.01",,,,2348,150,192,197,97,269,277,408,223,318,104,95,18,6.39,8.18,8.39,4.13,11.46,11.8,17.38,9.5,13.54,4.43,4.05,0.77
"06037232702","Census Tract 2327.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"232702",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037232702","Census Tract 2327.02",,,,4414,158,150,501,93,478,732,733,754,492,103,154,66,3.58,3.4,11.35,2.11,10.83,16.58,16.61,17.08,11.15,2.33,3.49,1.5
"06037232800","Census Tract 2328, Los Angeles County, California","ca","140","00",,,,"06","037",,,"232800",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037232800","Census Tract 2328",,,,4184,325,311,335,159,422,776,578,608,422,184,30,34,7.77,7.43,8.01,3.8,10.09,18.55,13.81,14.53,10.09,4.4,0.72,0.81
"06037234001","Census Tract 2340.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"234001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037234001","Census Tract 2340.01",,,,2517,82,105,151,101,285,239,269,386,345,253,210,91,3.26,4.17,6,4.01,11.32,9.5,10.69,15.34,13.71,10.05,8.34,3.62
"06037234002","Census Tract 2340.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"234002",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037234002","Census Tract 2340.02",,,,2896,101,170,106,57,149,417,528,437,443,249,185,54,3.49,5.87,3.66,1.97,5.15,14.4,18.23,15.09,15.3,8.6,6.39,1.86
"06037234200","Census Tract 2342, Los Angeles County, California","ca","140","00",,,,"06","037",,,"234200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037234200","Census Tract 2342",,,,2605,107,40,177,135,82,394,374,455,270,314,149,108,4.11,1.54,6.79,5.18,3.15,15.12,14.36,17.47,10.36,12.05,5.72,4.15
"06037234301","Census Tract 2343.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"234301",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037234301","Census Tract 2343.01",,,,1779,170,0,44,0,115,338,233,181,360,163,149,26,9.56,0,2.47,0,6.46,19,13.1,10.17,20.24,9.16,8.38,1.46
"06037234302","Census Tract 2343.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"234302",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037234302","Census Tract 2343.02",,,,2459,165,235,119,0,50,465,360,316,340,233,121,55,6.71,9.56,4.84,0,2.03,18.91,14.64,12.85,13.83,9.48,4.92,2.24
"06037234501","Census Tract 2345.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"234501",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037234501","Census Tract 2345.01",,,,2770,128,366,160,193,197,223,442,455,247,151,138,70,4.62,13.21,5.78,6.97,7.11,8.05,15.96,16.43,8.92,5.45,4.98,2.53
"06037234502","Census Tract 2345.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"234502",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037234502","Census Tract 2345.02",,,,2601,40,87,136,85,402,600,175,365,266,337,99,9,1.54,3.34,5.23,3.27,15.46,23.07,6.73,14.03,10.23,12.96,3.81,0.35
"06037234600","Census Tract 2346, Los Angeles County, California","ca","140","00",,,,"06","037",,,"234600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037234600","Census Tract 2346",,,,4694,162,206,365,232,482,432,593,982,467,364,228,181,3.45,4.39,7.78,4.94,10.27,9.2,12.63,20.92,9.95,7.75,4.86,3.86
